time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-03-24T03:26:32.380Z,75.559,121.654,10,4.5,mb,,,,0.87,us,usp000952h,2014-11-07T01:07:15.987Z,"Laptev Sea",earthquake,,,,2,reviewed,us,us
1998-10-23T12:30:09.440Z,75.901,133.999,10,4.2,mb,,,,1.09,us,usp0008wy3,2014-11-07T01:06:16.833Z,"Laptev Sea",earthquake,,,,3,reviewed,us,us
1998-08-23T09:59:02.970Z,72.826,129.583,10,4.5,mb,,,,1.26,us,usp0008tr5,2014-11-07T01:05:52.360Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,6,reviewed,us,us
1997-04-19T15:26:33.480Z,78.445,125.821,10,5.5,mwb,,,,0.83,us,usp00080u5,2015-01-24T00:38:32.000Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,us
1997-04-16T08:42:27.550Z,78.51,125.515,10,4.8,mb,,,,0.93,us,usp00080np,2014-11-07T01:02:35.354Z,"east of Severnaya Zemlya",earthquake,,,,41,reviewed,us,us
1997-03-17T11:20:10.040Z,73.768,142.933,10,3.9,mb,,,,1.43,us,usp0007yyy,2014-11-07T01:02:20.274Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,2,reviewed,us,us
1996-11-11T08:46:49.840Z,74.679,133.624,10,3.9,mb,,,,0.66,us,usp0007sue,2014-11-07T01:01:34.475Z,"Laptev Sea",earthquake,,,,1,reviewed,us,us
1996-10-23T20:41:39.070Z,77.119,125.524,30,3.6,mb,,,,0.79,us,usp0007ruu,2014-11-07T01:01:24.829Z,"Laptev Sea",earthquake,,,,1,reviewed,us,us
1996-09-15T00:21:22.120Z,72.206,126.335,10,4.8,ms,,,,1.04,us,usp0007pyt,2014-11-07T01:01:10.974Z,"northwestern Sakha, Russia",earthquake,,,,1,reviewed,us,us
1996-06-22T16:47:12.910Z,75.82,134.619,10,5.7,mwc,,,,1.2,us,usp0007k46,2016-11-09T22:49:21.044Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
1995-01-31T12:43:42.730Z,72.538,132.135,33,4.3,mb,,,,1.1,us,usp0006s5w,2014-11-07T00:57:12.598Z,"Laptev Sea",earthquake,,,,16,reviewed,us,us
1995-01-16T19:20:23.740Z,79.204,123.756,10,4.5,mb,,,,0.7,us,usp0006res,2014-11-07T00:57:08.899Z,"east of Severnaya Zemlya",earthquake,,,,20,reviewed,us,us
1994-09-23T02:11:37.370Z,76.401,145.754,10,4.6,mb,,,,0.9,us,usp0006jvq,2014-11-07T00:56:19.395Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,29,reviewed,us,us
1993-10-05T21:28:06.400Z,77.727,126.454,33.3,5.2,mw,,,,1,us,usp00061hv,2016-11-09T23:39:13.094Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
1993-05-17T13:18:41.330Z,78,126.367,10,4.4,mb,,,,1.2,us,usp0005sye,2014-11-07T00:53:01.326Z,"east of Severnaya Zemlya",earthquake,,,,14,reviewed,us,us
1993-05-04T20:48:50.790Z,77.215,131.435,10,4.7,mb,,,,1,us,usp0005s79,2014-11-07T00:52:57.502Z,"Laptev Sea",earthquake,,,,40,reviewed,us,us
1993-04-11T23:22:49.210Z,78.181,126.128,10,4.8,mb,,,,0.8,us,usp0005r1b,2014-11-07T00:52:48.643Z,"east of Severnaya Zemlya",earthquake,,,,28,reviewed,us,us
1993-03-24T22:43:27.860Z,71.685,130.539,10,4.8,mb,,,,0.8,us,usp0005q2j,2014-11-07T00:52:38.336Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,50,reviewed,us,us
1993-02-12T10:52:03.890Z,79.218,124.503,10,5.1,mw,,,,1,us,usp0005myv,2016-11-09T21:51:53.295Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
1993-01-21T13:43:15.240Z,78.873,125.638,28.6,5.5,mw,,,,0.8,us,usp0005m1w,2016-11-09T21:43:21.791Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
